000|010011|1011|011|11
100|000101|1101|101|11
111|010111|1000|001|11
100|000011|1111|100|11
000|010100|0111|000|11
000|010101|0011|100|11
011|000000|1110|010|11
011|000010|1110|011|00
010|000111|1101|010|00
101|001000|1101|101|00
001|001011|1101|101|00
001|001100|1010|000|11
110|001010|0100|100|11
011|000001|0111|011|11
101|000110|0111|011|11
001|001001|0101|011|11
110|001101|1001|011|11
000|010010|1011|011|11
000|010110|0111|000|11
011|000100|0000|100|01
111|001110|1100|010|00
000|001111|0101|011|01
111|010000|0011|101|00
111|010001|0011|100|00
