4 3 2 1
44 33 22 11
444 333 222 111
4444 3333 2222 1111
5 4 3 2
55 44 33 22
555 444 333 222
5555 4444 3333 2222
6 5 4 3
66 55 44 33
4 3 2 1
44 33 22 11
444 333 222 111
4444 3333 2222 1111
5 4 3 2
55 44 33 22
555 444 333 222
5555 4444 3333 2222
6 5 4 3
66 55 44 33
4 3 2 1
44 33 22 11
444 333 222 111
4444 3333 2222 1111
5 4 3 2
55 44 33 22
555 444 333 222
5555 4444 3333 2222
6 5 4 3
66 55 44 33
4 3 2 1
44 33 22 11
444 333 222 111
4444 3333 2222 1111
5 4 3 2
55 44 33 22
555 444 333 222
5555 4444 3333 2222
6 5 4 3
66 55 44 33
