011|1101010|000111001111|11010010001001
011|1100101|001011100001|10011101000111
011|0010100|000111001111|11011110011010
100|1100110|000111101110|10100101000101
011|0100000|001000000011|11100010111111
100|1100011|000110111111|01101110000000
101|1110010|001011100100|10011101011010
010|0010101|000110111111|11010001100111
101|0010010|000110101101|11101011010001
001|1110010|001010100011|10011101101001
110|1110010|001010010110|00100000010101
001|0011111|000110101001|11101011000010
001|1101000|000101011100|11000100011110
110|1110010|001100110101|10011000010000
111|0010101|001110000101|11010100110111
000|0100001|001010101000|11011011001100
111|0010010|001001111010|11101011011000
111|0010011|001001110011|11100101000100
000|1100101|001101110011|10011101100111
000|1110010|000101100110|00011010101101
000|1110001|000011111110|10000101000111
000|1110010|000001100011|10100010101010
000|1110001|001011100100|10000010010010
111|1100011|000100010000|01001001010011
